status,action
100,allowed
101,allowed
200,allowed
201,allowed
202,allowed
203,allowed
204,allowed
205,allowed
206,allowed
301,allowed
302,allowed
304,allowed
307,allowed
400,blocked
401,blocked
400.1,blocked
400.2,blocked
400.3,blocked
400.4,blocked
400.5,blocked
400.6,blocked
400.7,blocked
400.8,blocked
400.9,blocked
401.1,blocked
401.2,blocked
401.3,blocked
401.4,blocked
401.5,blocked
403,blocked
403.1,blocked
403.2,blocked
403.3,blocked
403.4,blocked
403.5,blocked
403.6,blocked
403.7,blocked
403.8,blocked
403.9,blocked
403.10,blocked
403.11,blocked
403.12,blocked
403.13,blocked
403.14,blocked
403.15,blocked
403.16,blocked
403.17,blocked
403.18,blocked
403.19,blocked
403.20,blocked 
403.21,blocked 
403.22,blocked 
403.502,blocked
404,blocked
404.0,blocked
404.1,blocked
404.2,blocked
404.3,blocked
405,blocked 
406,blocked
407,blocked
412,blocked
413,blocked
414,blocked
415,blocked
416,blocked
417,blocked
423,blocked
404.20,blocked
405,blocked
406,blocked
408,blocked
412,blocked
500,blocked
501,blocked
502,blocked 
503,blocked 
504,blocked
505,blocked