eventhandler_type,eventhandler_type_name,state,state_name,state_type,state_type_name,early_timeout,early_timeout_name
0,Host event handler,0,UP,0,SOFT state,0,Did NOT time out
0,Host event handler,1,DOWN,1,HARD state,1,Timed out
0,Host event handler,2,UNREACHABLE,,,,
2,Global host event handler,0,UP,,,,
2,Global host event handler,1,DOWN,,,,
2,Global host event handler,2,UNREACHABLE,,,,
1,Service event handler,0,OK,,,,
1,Service event handler,1,WARNING,,,,
1,Service event handler,2,CRITICAL,,,,
1,Service event handler,3,UNKNOWN,,,,
3,Global service event handler,0,OK,,,,
3,Global service event handler,1,WARNING,,,,
3,Global service event handler,2,CRITICAL,,,,
3,Global service event handler,3,UNKNOWN,,,,